team_id,total_first_downs,first_downs_rush_pass_penalty,third_down_conversions,fourth_down_conversions,total_offensive,offense_plays_avg,total_rushing,rushing_plays_avg,total_passing,passing_comp_att_int_avg,sacks,field_goals,touchdowns,touchdowns_rush_pass_returns_def,avg_possesion,turnover_ratio
1,381,136 - 211 - 34,80 / 202,17 / 25,6153,1083 - 5.7,2237,479 - 4.7,3916,387 - 575 - 13 - 7.1,48,23 / 30,49,22 - 27 - 0 - 0,29:03,0
2,366,86 - 243 - 37,97 / 221,15 / 26,5895,1078 - 5.5,1532,409 - 3.7,4363,408 - 628 - 11 - 7.4,29,38 / 40,41,13 - 27 - 0 - 1,30:41,+3
3,327,166 - 142 - 19,101 / 207,12 / 19,5810,993 - 5.9,3071,555 - 5.5,2739,257 - 406 - 11 - 7.2,39,26 / 29,55,24 - 27 - 1 - 3,31:30,+4
4,397,119 - 240 - 38,93 / 187,8 / 10,6343,1034 - 6.1,1723,411 - 4.2,4620,410 - 596 - 11 - 8.0,38,28 / 34,60,16 - 40 - 1 - 3,31:45,+4
5,335,110 - 192 - 33,76 / 195,15 / 27,5592,993 - 5.6,1704,407 - 4.2,3888,373 - 550 - 16 - 7.5,29,29 / 36,38,19 - 16 - 0 - 3,30:59,+1
6,335,93 - 218 - 24,71 / 205,17 / 28,5302,1043 - 5.1,1647,393 - 4.2,3655,402 - 614 - 16 - 6.4,35,30 / 32,40,12 - 26 - 1 - 1,30:28,-4
7,318,92 - 201 - 25,77 / 213,19 / 27,5116,1040 - 4.9,1668,411 - 4.1,3448,372 - 581 - 11 - 6.5,17,27 / 34,33,13 - 19 - 1 - 0,31:09,-7
8,355,133 - 195 - 27,88 / 196,8 / 24,5913,1022 - 5.8,2374,495 - 4.8,3539,315 - 501 - 8 - 7.4,38,19 / 24,50,21 - 27 - 0 - 2,30:54,+5
9,371,115 - 231 - 25,87 / 215,17 / 31,5949,1113 - 5.3,1788,430 - 4.2,4161,413 - 639 - 13 - 7.1,31,34 / 41,42,14 - 25 - 1 - 2,28:21,-3
10,308,94 - 176 - 38,82 / 212,4 / 15,5369,1030 - 5.2,1918,442 - 4.3,3451,317 - 556 - 23 - 6.6,42,28 / 35,35,13 - 21 - 1 - 0,28:58,-16
11,350,93 - 220 - 37,79 / 192,10 / 20,5603,991 - 5.7,1499,367 - 4.1,4104,374 - 582 - 13 - 7.6,24,21 / 28,45,17 - 27 - 1 - 0,27:54,-9
12,358,114 - 216 - 28,89 / 180,13 / 21,6224,990 - 6.3,2118,443 - 4.8,4106,372 - 526 - 5 - 8.2,41,16 / 16,66,16 - 48 - 0 - 2,32:34,+7
13,326,83 - 222 - 21,83 / 193,9 / 16,6004,940 - 6.4,1466,344 - 4.3,4538,383 - 546 - 7 - 8.9,34,27 / 31,44,10 - 33 - 0 - 1,27:18,-9
14,364,129 - 201 - 34,78 / 197,16 / 26,6049,1032 - 5.9,1996,459 - 4.3,4053,371 - 552 - 11 - 7.6,40,32 / 37,50,20 - 24 - 1 - 5,31:06,+10
15,310,80 - 205 - 25,84 / 207,7 / 26,5218,997 - 5.2,1519,337 - 4.5,3699,387 - 616 - 16 - 6.4,18,18 / 25,37,9 - 25 - 1 - 2,27:51,-8
16,397,110 - 255 - 32,95 / 194,9 / 16,6653,1057 - 6.3,1799,403 - 4.5,4854,420 - 630 - 7 - 7.9,32,25 / 27,57,13 - 40 - 2 - 2,30:31,+6
17,359,121 - 206 - 32,91 / 198,16 / 21,6133,1036 - 5.9,1916,457 - 4.2,4217,369 - 551 - 10 - 8.0,21,33 / 35,48,20 - 28 - 0 - 0,31:04,-11
18,373,111 - 226 - 36,99 / 224,12 / 25,6113,1127 - 5.4,1784,466 - 3.8,4329,413 - 627 - 10 - 7.3,27,24 / 33,45,12 - 31 - 0 - 2,31:57,+3
19,352,123 - 206 - 23,98 / 226,8 / 17,6032,1088 - 5.5,2018,473 - 4.3,4014,392 - 590 - 14 - 7.1,53,24 / 30,43,19 - 20 - 0 - 4,32:01,-3
20,345,100 - 207 - 38,78 / 202,8 / 10,5424,1021 - 5.3,1688,428 - 3.9,3736,370 - 559 - 13 - 7.0,41,36 / 39,42,15 - 24 - 1 - 2,31:16,+9
21,383,139 - 212 - 32,74 / 181,13 / 23,6292,1023 - 6.2,2283,468 - 4.9,4009,349 - 516 - 13 - 8.3,23,15 / 22,55,20 - 35 - 0 - 0,30:02,-1
22,332,143 - 157 - 32,76 / 186,9 / 17,5236,979 - 5.3,2346,502 - 4.7,2890,283 - 440 - 14 - 7.1,24,26 / 28,36,20 - 12 - 1 - 3,28:57,+3
23,367,147 - 199 - 21,93 / 208,11 / 16,6023,1045 - 5.8,2265,494 - 4.6,3758,370 - 522 - 8 - 7.6,45,23 / 28,59,30 - 28 - 0 - 1,32:10,+9
24,297,91 - 178 - 28,72 / 198,14 / 22,4794,966 - 5.0,1768,399 - 4.4,3026,321 - 517 - 11 - 6.5,40,31 / 32,27,13 - 12 - 0 - 2,28:42,0
25,269,94 - 146 - 29,70 / 206,7 / 18,4479,948 - 4.7,1683,406 - 4.1,2796,292 - 499 - 14 - 6.2,31,21 / 28,26,9 - 16 - 0 - 1,27:53,0
26,336,114 - 177 - 45,82 / 220,15 / 35,5354,1066 - 5.0,2027,403 - 5.0,3327,334 - 598 - 20 - 6.2,49,14 / 19,42,16 - 22 - 1 - 3,29:15,-10
27,322,81 - 206 - 35,97 / 230,10 / 19,5354,1043 - 5.1,1351,373 - 3.6,4003,428 - 656 - 11 - 6.3,56,23 / 24,50,12 - 35 - 0 - 3,30:48,+9
28,350,101 - 217 - 32,77 / 197,6 / 15,5922,1046 - 5.7,1889,437 - 4.3,4033,371 - 570 - 17 - 7.6,30,22 / 26,45,19 - 25 - 0 - 1,31:23,-11
29,356,111 - 216 - 29,76 / 189,8 / 14,5912,1022 - 5.8,1971,411 - 4.8,3941,388 - 563 - 13 - 7.5,46,24 / 24,55,15 - 40 - 0 - 0,30:07,+4
30,364,82 - 238 - 44,83 / 191,8 / 14,6145,1017 - 6.0,1519,369 - 4.1,4626,410 - 626 - 12 - 7.6,48,28 / 31,59,16 - 42 - 0 - 1,28:54,+8
31,381,142 - 203 - 36,84 / 182,10 / 16,6343,1031 - 6.2,2690,521 - 5.2,3653,316 - 485 - 7 - 7.9,19,20 / 28,62,26 - 33 - 1 - 2,28:42,+11
32,322,108 - 184 - 30,88 / 225,11 / 19,5076,1051 - 4.8,1611,400 - 4.0,3465,389 - 601 - 16 - 6.3,47,27 / 34,37,18 - 16 - 0 - 3,29:54,-4
