team_id,allowed TOTAL FIRST DOWNS,allowed FIRST DOWNS (Rushing - Passing - By Penalty),allowed THIRD DOWN CONVERSIONS,allowed FOURTH DOWN CONVERSIONS,allowed TOTAL OFFENSIVE YARDS,allowed OFFENSE (Plays - Average Yards),allowed TOTAL RUSHING YARDS,allowed RUSHING (Plays - Average Yards),allowed TOTAL PASSING YARDS,allowed PASSING (Comp - Att - Int - Avg),allowed SACKS,allowed FIELD GOALS,allowed TOUCHDOWNS,allowed TOUCHDOWNS (Rushing - Passing - Returns - Defensive),allowed AVERAGE TIME OF POSSESSION,allowed TURNOVER RATIO
1,363,118 - 207 - 38,80 / 202,14 / 21,5631,1054 - 5.3,2008,436 - 4.6,3623,365 - 570 - 11 - 6.9,29,25 / 30,42,13 - 26 - 0 - 3,31:32,0
2,367,97 - 239 - 31,80 / 195,10 / 23,6374,1034 - 6.2,1677,380 - 4.4,4697,425 - 625 - 12 - 7.9,41,24 / 28,49,15 - 34 - 0 - 0,29:18,-3
3,347,96 - 213 - 38,65 / 191,16 / 35,5276,1017 - 5.2,1740,382 - 4.6,3536,380 - 596 - 10 - 6.4,32,16 / 24,37,12 - 22 - 0 - 3,28:47,-4
4,351,125 - 199 - 27,76 / 191,11 / 19,5640,1025 - 5.5,1914,414 - 4.6,3726,369 - 573 - 15 - 6.9,27,23 / 25,44,21 - 23 - 0 - 0,28:14,-4
5,360,114 - 211 - 35,98 / 199,6 / 10,5761,1022 - 5.6,1936,408 - 4.7,3825,398 - 585 - 7 - 6.9,36,29 / 31,46,17 - 28 - 1 - 0,29:00,-1
6,331,104 - 190 - 37,80 / 210,13 / 22,5519,1020 - 5.4,1814,438 - 4.1,3705,350 - 547 - 10 - 7.2,36,29 / 35,41,11 - 28 - 0 - 2,30:03,+4
7,343,126 - 192 - 25,91 / 210,10 / 16,6227,1021 - 6.1,2368,463 - 5.1,3859,340 - 541 - 11 - 7.3,48,33 / 38,47,13 - 32 - 0 - 2,29:28,+7
8,352,116 - 214 - 22,90 / 205,22 / 27,5735,1035 - 5.5,1773,412 - 4.3,3962,371 - 585 - 11 - 7.2,26,23 / 27,50,16 - 31 - 1 - 2,29:06,-5
9,359,142 - 180 - 37,98 / 209,10 / 21,6183,1054 - 5.9,2541,510 - 5.0,3642,328 - 513 - 10 - 7.4,44,24 / 27,57,20 - 34 - 0 - 3,31:38,+3
10,333,106 - 201 - 26,88 / 219,7 / 14,5887,1043 - 5.6,2080,434 - 4.8,3807,374 - 567 - 10 - 7.2,32,39 / 42,47,22 - 21 - 1 - 3,31:01,+16
11,415,127 - 253 - 35,91 / 193,11 / 18,6716,1068 - 6.3,2158,487 - 4.4,4558,383 - 557 - 7 - 8.5,42,16 / 20,68,27 - 38 - 0 - 3,32:05,+9
12,332,119 - 184 - 29,73 / 185,14 / 24,5344,974 - 5.5,1805,397 - 4.5,3539,346 - 536 - 11 - 7.1,21,24 / 27,42,16 - 23 - 2 - 1,27:36,-7
13,390,145 - 222 - 23,96 / 202,11 / 21,6668,1068 - 6.2,2564,493 - 5.2,4104,377 - 541 - 3 - 8.0,50,25 / 31,55,24 - 30 - 0 - 1,32:55,+9
14,329,94 - 203 - 32,86 / 203,6 / 14,5314,992 - 5.4,1448,390 - 3.7,3866,369 - 562 - 15 - 7.3,21,19 / 23,43,16 - 24 - 1 - 2,29:04,-10
15,394,140 - 210 - 44,86 / 198,12 / 18,6683,1068 - 6.3,2452,517 - 4.7,4231,370 - 533 - 12 - 8.1,44,31 / 39,57,23 - 34 - 0 - 0,32:39,+8
16,353,113 - 202 - 38,77 / 188,13 / 20,5733,1022 - 5.6,1954,433 - 4.5,3779,349 - 557 - 16 - 7.1,24,18 / 26,44,14 - 29 - 1 - 0,29:58,-6
17,381,114 - 223 - 44,100 / 205,14 / 17,6225,1039 - 6.0,2013,438 - 4.6,4212,370 - 580 - 10 - 7.5,28,32 / 39,55,24 - 28 - 0 - 3,29:27,+11
18,324,112 - 186 - 26,89 / 204,10 / 15,5495,997 - 5.5,1917,427 - 4.5,3578,340 - 543 - 12 - 6.8,34,28 / 32,49,17 - 29 - 1 - 2,29:26,-3
19,280,91 - 170 - 19,74 / 209,9 / 21,4511,989 - 4.6,1460,388 - 3.8,3051,347 - 548 - 14 - 6.2,25,22 / 26,33,12 - 17 - 1 - 3,27:58,+3
20,336,113 - 193 - 30,58 / 186,12 / 26,5886,998 - 5.9,1862,412 - 4.5,4024,343 - 545 - 18 - 8.0,34,17 / 23,41,17 - 21 - 2 - 1,28:43,-9
21,366,136 - 208 - 22,73 / 185,17 / 24,6292,1036 - 6.1,2151,472 - 4.6,4141,358 - 541 - 15 - 7.9,39,35 / 39,53,19 - 30 - 1 - 3,30:28,+1
22,339,131 - 187 - 21,76 / 186,9 / 16,5660,982 - 5.8,2103,464 - 4.5,3557,333 - 494 - 18 - 7.5,37,22 / 27,41,17 - 22 - 0 - 2,31:02,-3
23,320,85 - 185 - 50,79 / 207,16 / 30,4974,992 - 5.0,1502,390 - 3.9,3472,333 - 557 - 18 - 6.7,29,22 / 26,39,11 - 28 - 0 - 0,28:42,-9
24,353,115 - 215 - 23,91 / 204,11 / 18,5589,1046 - 5.3,1782,432 - 4.1,3807,388 - 574 - 11 - 7.2,50,32 / 36,38,14 - 22 - 1 - 1,31:18,0
25,381,100 - 235 - 46,90 / 202,5 / 12,6201,1081 - 5.7,1792,445 - 4.0,4409,418 - 605 - 10 - 7.6,43,29 / 35,53,16 - 34 - 0 - 3,32:06,0
26,340,98 - 209 - 33,80 / 211,7 / 18,5810,1060 - 5.5,2012,481 - 4.2,3798,364 - 530 - 8 - 7.8,65,27 / 32,48,20 - 27 - 0 - 1,31:21,+10
27,281,94 - 163 - 24,83 / 222,5 / 20,4893,996 - 4.9,1783,414 - 4.3,3110,298 - 526 - 18 - 6.6,14,20 / 24,36,13 - 22 - 0 - 1,29:11,-9
28,311,102 - 176 - 33,71 / 200,13 / 20,5030,997 - 5.0,1703,430 - 4.0,3327,341 - 537 - 12 - 6.6,39,33 / 37,42,12 - 25 - 1 - 4,28:36,+11
29,376,97 - 253 - 26,105 / 223,10 / 23,6089,1112 - 5.5,1529,392 - 3.9,4560,450 - 674 - 14 - 7.1,48,29 / 35,42,18 - 23 - 0 - 1,30:28,-4
30,319,78 - 215 - 26,82 / 205,14 / 25,5234,1023 - 5.1,1289,358 - 3.6,3945,426 - 617 - 15 - 7.0,22,21 / 26,42,10 - 29 - 1 - 2,31:05,-8
31,391,113 - 247 - 31,111 / 214,15 / 26,6372,1076 - 5.9,1933,427 - 4.5,4439,423 - 630 - 15 - 7.3,25,21 / 23,55,18 - 36 - 0 - 1,31:47,-11
32,289,100 - 161 - 28,81 / 216,9 / 24,4873,1004 - 4.9,1805,428 - 4.2,3068,330 - 529 - 16 - 6.4,50,24 / 27,37,14 - 21 - 0 - 2,30:05,+4
