title,home,opponent
TOTAL FIRST DOWNS,381,363
FIRST DOWNS (Rushing - Passing - By Penalty),136 - 211 - 34,118 - 207 - 38
THIRD DOWN CONVERSIONS,80 / 202,80 / 202
FOURTH DOWN CONVERSIONS,17 / 25,14 / 21
TOTAL OFFENSIVE YARDS,6153,5631
OFFENSE (Plays - Average Yards),1083 - 5.7,1054 - 5.3
TOTAL RUSHING YARDS,2237,2008
RUSHING (Plays - Average Yards),479 - 4.7,436 - 4.6
TOTAL PASSING YARDS,3916,3623
PASSING (Comp - Att - Int - Avg),387 - 575 - 13 - 7.1,365 - 570 - 11 - 6.9
SACKS,48,29
FIELD GOALS,23 / 30,25 / 30
TOUCHDOWNS,49,42
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),22 - 27 - 0 - 0,13 - 26 - 0 - 3
AVERAGE TIME OF POSSESSION,29:03,31:32
TURNOVER RATIO,0,0
