title,home,opponent
TOTAL FIRST DOWNS,366,367
FIRST DOWNS (Rushing - Passing - By Penalty),86 - 243 - 37,97 - 239 - 31
THIRD DOWN CONVERSIONS,97 / 221,80 / 195
FOURTH DOWN CONVERSIONS,15 / 26,10 / 23
TOTAL OFFENSIVE YARDS,5895,6374
OFFENSE (Plays - Average Yards),1078 - 5.5,1034 - 6.2
TOTAL RUSHING YARDS,1532,1677
RUSHING (Plays - Average Yards),409 - 3.7,380 - 4.4
TOTAL PASSING YARDS,4363,4697
PASSING (Comp - Att - Int - Avg),408 - 628 - 11 - 7.4,425 - 625 - 12 - 7.9
SACKS,29,41
FIELD GOALS,38 / 40,24 / 28
TOUCHDOWNS,41,49
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),13 - 27 - 0 - 1,15 - 34 - 0 - 0
AVERAGE TIME OF POSSESSION,30:41,29:18
TURNOVER RATIO,+3,-3
