title,home,opponent
TOTAL FIRST DOWNS,327,347
FIRST DOWNS (Rushing - Passing - By Penalty),166 - 142 - 19,96 - 213 - 38
THIRD DOWN CONVERSIONS,101 / 207,65 / 191
FOURTH DOWN CONVERSIONS,12 / 19,16 / 35
TOTAL OFFENSIVE YARDS,5810,5276
OFFENSE (Plays - Average Yards),993 - 5.9,1017 - 5.2
TOTAL RUSHING YARDS,3071,1740
RUSHING (Plays - Average Yards),555 - 5.5,382 - 4.6
TOTAL PASSING YARDS,2739,3536
PASSING (Comp - Att - Int - Avg),257 - 406 - 11 - 7.2,380 - 596 - 10 - 6.4
SACKS,39,32
FIELD GOALS,26 / 29,16 / 24
TOUCHDOWNS,55,37
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),24 - 27 - 1 - 3,12 - 22 - 0 - 3
AVERAGE TIME OF POSSESSION,31:30,28:47
TURNOVER RATIO,+4,-4
