,home,title,opponent
0,397,TOTAL FIRST DOWNS,351
1,"119
240
38",FIRST DOWNS (Rushing - Passing - By Penalty),"125
199
27"
2,93 / 187,THIRD DOWN CONVERSIONS,76 / 191
3,8 / 10,FOURTH DOWN CONVERSIONS,11 / 19
4,6343,TOTAL OFFENSIVE YARDS,5640
5,"1034
6.1",OFFENSE (Plays - Average Yards),"1025
5.5"
6,1723,TOTAL RUSHING YARDS,1914
7,"411 
4.2",RUSHING (Plays - Average Yards),"414
4.6"
8,4620,TOTAL PASSING YARDS,3726
9,"410
596
11
8.0",PASSING (Comp - Att - Int - Avg),"369
573
15
6.9"
10,38,SACKS,27
11,28 / 34,FIELD GOALS,23 / 25
12,60,TOUCHDOWNS (Rushing - Passing - Returns - Defensive),44
13,"16
40
1
3",TOUCHDOWNS,"21
23
0
0"
14,31:45,AVERAGE TIME OF POSSESSION,28:14
15,+4,TURNOVER RATIO,
