title,home,opponent
TOTAL FIRST DOWNS,335,360
FIRST DOWNS (Rushing - Passing - By Penalty),110 - 192 - 33,114 - 211 - 35
THIRD DOWN CONVERSIONS,76 / 195,98 / 199
FOURTH DOWN CONVERSIONS,15 / 27,6 / 10
TOTAL OFFENSIVE YARDS,5592,5761
OFFENSE (Plays - Average Yards),993 - 5.6,1022 - 5.6
TOTAL RUSHING YARDS,1704,1936
RUSHING (Plays - Average Yards),407 - 4.2,408 - 4.7
TOTAL PASSING YARDS,3888,3825
PASSING (Comp - Att - Int - Avg),373 - 550 - 16 - 7.5,398 - 585 - 7 - 6.9
SACKS,29,36
FIELD GOALS,29 / 36,29 / 31
TOUCHDOWNS,38,46
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),19 - 16 - 0 - 3,17 - 28 - 1 - 0
AVERAGE TIME OF POSSESSION,30:59,29:00
TURNOVER RATIO,+1,-1
