,home,title,opponent
0,335,TOTAL FIRST DOWNS,331
1,"93
218
24",FIRST DOWNS (Rushing - Passing - By Penalty),"104
190
37"
2,71 / 205,THIRD DOWN CONVERSIONS,80 / 210
3,17 / 28,FOURTH DOWN CONVERSIONS,13 / 22
4,5302,TOTAL OFFENSIVE YARDS,5519
5,"1043
5.1",OFFENSE (Plays - Average Yards),"1020
5.4"
6,1647,TOTAL RUSHING YARDS,1814
7,"393 
4.2",RUSHING (Plays - Average Yards),"438
4.1"
8,3655,TOTAL PASSING YARDS,3705
9,"402
614
16
6.4",PASSING (Comp - Att - Int - Avg),"350
547
10
7.2"
10,35,SACKS,36
11,30 / 32,FIELD GOALS,29 / 35
12,40,TOUCHDOWNS (Rushing - Passing - Returns - Defensive),41
13,"12
26
1
1",TOUCHDOWNS,"11
28
0
2"
14,30:28,AVERAGE TIME OF POSSESSION,30:03
15,-4,TURNOVER RATIO,
