,home,title,opponent
0,318,TOTAL FIRST DOWNS,343
1,"92
201
25",FIRST DOWNS (Rushing - Passing - By Penalty),"126
192
25"
2,77 / 213,THIRD DOWN CONVERSIONS,91 / 210
3,19 / 27,FOURTH DOWN CONVERSIONS,10 / 16
4,5116,TOTAL OFFENSIVE YARDS,6227
5,"1040
4.9",OFFENSE (Plays - Average Yards),"1021
6.1"
6,1668,TOTAL RUSHING YARDS,2368
7,"411 
4.1",RUSHING (Plays - Average Yards),"463
5.1"
8,3448,TOTAL PASSING YARDS,3859
9,"372
581
11
6.5",PASSING (Comp - Att - Int - Avg),"340
541
11
7.3"
10,17,SACKS,48
11,27 / 34,FIELD GOALS,33 / 38
12,33,TOUCHDOWNS (Rushing - Passing - Returns - Defensive),47
13,"13
19
1
0",TOUCHDOWNS,"13
32
0
2"
14,31:09,AVERAGE TIME OF POSSESSION,29:28
15,-7,TURNOVER RATIO,
