title,home,opponent
TOTAL FIRST DOWNS,371,359
FIRST DOWNS (Rushing - Passing - By Penalty),115 - 231 - 25,142 - 180 - 37
THIRD DOWN CONVERSIONS,87 / 215,98 / 209
FOURTH DOWN CONVERSIONS,17 / 31,10 / 21
TOTAL OFFENSIVE YARDS,5949,6183
OFFENSE (Plays - Average Yards),1113 - 5.3,1054 - 5.9
TOTAL RUSHING YARDS,1788,2541
RUSHING (Plays - Average Yards),430 - 4.2,510 - 5.0
TOTAL PASSING YARDS,4161,3642
PASSING (Comp - Att - Int - Avg),413 - 639 - 13 - 7.1,328 - 513 - 10 - 7.4
SACKS,31,44
FIELD GOALS,34 / 41,24 / 27
TOUCHDOWNS,42,57
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),14 - 25 - 1 - 2,20 - 34 - 0 - 3
AVERAGE TIME OF POSSESSION,28:21,31:38
TURNOVER RATIO,-3,
