title,home,opponent
TOTAL FIRST DOWNS,308,333
FIRST DOWNS (Rushing - Passing - By Penalty),94 - 176 - 38,106 - 201 - 26
THIRD DOWN CONVERSIONS,82 / 212,88 / 219
FOURTH DOWN CONVERSIONS,4 / 15,7 / 14
TOTAL OFFENSIVE YARDS,5369,5887
OFFENSE (Plays - Average Yards),1030 - 5.2,1043 - 5.6
TOTAL RUSHING YARDS,1918,2080
RUSHING (Plays - Average Yards),442 - 4.3,434 - 4.8
TOTAL PASSING YARDS,3451,3807
PASSING (Comp - Att - Int - Avg),317 - 556 - 23 - 6.6,374 - 567 - 10 - 7.2
SACKS,42,32
FIELD GOALS,28 / 35,39 / 42
TOUCHDOWNS,35,47
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),13 - 21 - 1 - 0,22 - 21 - 1 - 3
AVERAGE TIME OF POSSESSION,28:58,31:01
TURNOVER RATIO,-16,+16
