title,home,opponent
TOTAL FIRST DOWNS,350,415
FIRST DOWNS (Rushing - Passing - By Penalty),93 - 220 - 37,127 - 253 - 35
THIRD DOWN CONVERSIONS,79 / 192,91 / 193
FOURTH DOWN CONVERSIONS,10 / 20,11 / 18
TOTAL OFFENSIVE YARDS,5603,6716
OFFENSE (Plays - Average Yards),991 - 5.7,1068 - 6.3
TOTAL RUSHING YARDS,1499,2158
RUSHING (Plays - Average Yards),367 - 4.1,487 - 4.4
TOTAL PASSING YARDS,4104,4558
PASSING (Comp - Att - Int - Avg),374 - 582 - 13 - 7.6,383 - 557 - 7 - 8.5
SACKS,24,42
FIELD GOALS,21 / 28,16 / 20
TOUCHDOWNS,45,68
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),17 - 27 - 1 - 0,27 - 38 - 0 - 3
AVERAGE TIME OF POSSESSION,27:54,32:05
TURNOVER RATIO,-9,+9
