title,home,opponent
TOTAL FIRST DOWNS,358,332
FIRST DOWNS (Rushing - Passing - By Penalty),114 - 216 - 28,119 - 184 - 29
THIRD DOWN CONVERSIONS,89 / 180,73 / 185
FOURTH DOWN CONVERSIONS,13 / 21,14 / 24
TOTAL OFFENSIVE YARDS,6224,5344
OFFENSE (Plays - Average Yards),990 - 6.3,974 - 5.5
TOTAL RUSHING YARDS,2118,1805
RUSHING (Plays - Average Yards),443 - 4.8,397 - 4.5
TOTAL PASSING YARDS,4106,3539
PASSING (Comp - Att - Int - Avg),372 - 526 - 5 - 8.2,346 - 536 - 11 - 7.1
SACKS,41,21
FIELD GOALS,16 / 16,24 / 27
TOUCHDOWNS,66,42
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),16 - 48 - 0 - 2,16 - 23 - 2 - 1
AVERAGE TIME OF POSSESSION,32:34,27:36
TURNOVER RATIO,+7,-7
