title,home,opponent
TOTAL FIRST DOWNS,326,390
FIRST DOWNS (Rushing - Passing - By Penalty),83 - 222 - 21,145 - 222 - 23
THIRD DOWN CONVERSIONS,83 / 193,96 / 202
FOURTH DOWN CONVERSIONS,9 / 16,11 / 21
TOTAL OFFENSIVE YARDS,6004,6668
OFFENSE (Plays - Average Yards),940 - 6.4,1068 - 6.2
TOTAL RUSHING YARDS,1466,2564
RUSHING (Plays - Average Yards),344 - 4.3,493 - 5.2
TOTAL PASSING YARDS,4538,4104
PASSING (Comp - Att - Int - Avg),383 - 546 - 7 - 8.9,377 - 541 - 3 - 8.0
SACKS,34,50
FIELD GOALS,27 / 31,25 / 31
TOUCHDOWNS,44,55
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),10 - 33 - 0 - 1,24 - 30 - 0 - 1
AVERAGE TIME OF POSSESSION,27:18,32:55
TURNOVER RATIO,-9,
