,home,title,opponent
0,364,TOTAL FIRST DOWNS,329
1,"129
201
34",FIRST DOWNS (Rushing - Passing - By Penalty),"94
203
32"
2,78 / 197,THIRD DOWN CONVERSIONS,86 / 203
3,16 / 26,FOURTH DOWN CONVERSIONS,6 / 14
4,6049,TOTAL OFFENSIVE YARDS,5314
5,"1032
5.9",OFFENSE (Plays - Average Yards),"992
5.4"
6,1996,TOTAL RUSHING YARDS,1448
7,"459 
4.3",RUSHING (Plays - Average Yards),"390
3.7"
8,4053,TOTAL PASSING YARDS,3866
9,"371
552
11
7.6",PASSING (Comp - Att - Int - Avg),"369
562
15
7.3"
10,40,SACKS,21
11,32 / 37,FIELD GOALS,19 / 23
12,50,TOUCHDOWNS (Rushing - Passing - Returns - Defensive),43
13,"20
24
1
5",TOUCHDOWNS,"16
24
1
2"
14,31:06,AVERAGE TIME OF POSSESSION,29:04
15,+10,TURNOVER RATIO,
