title,home,opponent
TOTAL FIRST DOWNS,310,394
FIRST DOWNS (Rushing - Passing - By Penalty),80 - 205 - 25,140 - 210 - 44
THIRD DOWN CONVERSIONS,84 / 207,86 / 198
FOURTH DOWN CONVERSIONS,7 / 26,12 / 18
TOTAL OFFENSIVE YARDS,5218,6683
OFFENSE (Plays - Average Yards),997 - 5.2,1068 - 6.3
TOTAL RUSHING YARDS,1519,2452
RUSHING (Plays - Average Yards),337 - 4.5,517 - 4.7
TOTAL PASSING YARDS,3699,4231
PASSING (Comp - Att - Int - Avg),387 - 616 - 16 - 6.4,370 - 533 - 12 - 8.1
SACKS,18,44
FIELD GOALS,18 / 25,31 / 39
TOUCHDOWNS,37,57
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),9 - 25 - 1 - 2,23 - 34 - 0 - 0
AVERAGE TIME OF POSSESSION,27:51,32:39
TURNOVER RATIO,-8,+8
