title,home,opponent
TOTAL FIRST DOWNS,397,353
FIRST DOWNS (Rushing - Passing - By Penalty),110 - 255 - 32,113 - 202 - 38
THIRD DOWN CONVERSIONS,95 / 194,77 / 188
FOURTH DOWN CONVERSIONS,9 / 16,13 / 20
TOTAL OFFENSIVE YARDS,6653,5733
OFFENSE (Plays - Average Yards),1057 - 6.3,1022 - 5.6
TOTAL RUSHING YARDS,1799,1954
RUSHING (Plays - Average Yards),403 - 4.5,433 - 4.5
TOTAL PASSING YARDS,4854,3779
PASSING (Comp - Att - Int - Avg),420 - 630 - 7 - 7.9,349 - 557 - 16 - 7.1
SACKS,32,24
FIELD GOALS,25 / 27,18 / 26
TOUCHDOWNS,57,44
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),13 - 40 - 2 - 2,14 - 29 - 1 - 0
AVERAGE TIME OF POSSESSION,30:31,29:58
TURNOVER RATIO,+6,-6
