title,home,opponent
TOTAL FIRST DOWNS,359,381
FIRST DOWNS (Rushing - Passing - By Penalty),121 - 206 - 32,114 - 223 - 44
THIRD DOWN CONVERSIONS,91 / 198,100 / 205
FOURTH DOWN CONVERSIONS,16 / 21,14 / 17
TOTAL OFFENSIVE YARDS,6133,6225
OFFENSE (Plays - Average Yards),1036 - 5.9,1039 - 6.0
TOTAL RUSHING YARDS,1916,2013
RUSHING (Plays - Average Yards),457 - 4.2,438 - 4.6
TOTAL PASSING YARDS,4217,4212
PASSING (Comp - Att - Int - Avg),369 - 551 - 10 - 8.0,370 - 580 - 10 - 7.5
SACKS,21,28
FIELD GOALS,33 / 35,32 / 39
TOUCHDOWNS,48,55
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),20 - 28 - 0 - 0,24 - 28 - 0 - 3
AVERAGE TIME OF POSSESSION,31:04,29:27
TURNOVER RATIO,-11,+11
