,home,title,opponent
0,373,TOTAL FIRST DOWNS,324
1,"111
226
36",FIRST DOWNS (Rushing - Passing - By Penalty),"112
186
26"
2,99 / 224,THIRD DOWN CONVERSIONS,89 / 204
3,12 / 25,FOURTH DOWN CONVERSIONS,10 / 15
4,6113,TOTAL OFFENSIVE YARDS,5495
5,"1127
5.4",OFFENSE (Plays - Average Yards),"997
5.5"
6,1784,TOTAL RUSHING YARDS,1917
7,"466 
3.8",RUSHING (Plays - Average Yards),"427
4.5"
8,4329,TOTAL PASSING YARDS,3578
9,"413
627
10
7.3",PASSING (Comp - Att - Int - Avg),"340
543
12
6.8"
10,27,SACKS,34
11,24 / 33,FIELD GOALS,28 / 32
12,45,TOUCHDOWNS (Rushing - Passing - Returns - Defensive),49
13,"12
31
0
2",TOUCHDOWNS,"17
29
1
2"
14,31:57,AVERAGE TIME OF POSSESSION,29:26
15,+3,TURNOVER RATIO,
