title,home,opponent
TOTAL FIRST DOWNS,352,280
FIRST DOWNS (Rushing - Passing - By Penalty),123 - 206 - 23,91 - 170 - 19
THIRD DOWN CONVERSIONS,98 / 226,74 / 209
FOURTH DOWN CONVERSIONS,8 / 17,9 / 21
TOTAL OFFENSIVE YARDS,6032,4511
OFFENSE (Plays - Average Yards),1088 - 5.5,989 - 4.6
TOTAL RUSHING YARDS,2018,1460
RUSHING (Plays - Average Yards),473 - 4.3,388 - 3.8
TOTAL PASSING YARDS,4014,3051
PASSING (Comp - Att - Int - Avg),392 - 590 - 14 - 7.1,347 - 548 - 14 - 6.2
SACKS,53,25
FIELD GOALS,24 / 30,22 / 26
TOUCHDOWNS,43,33
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),19 - 20 - 0 - 4,12 - 17 - 1 - 3
AVERAGE TIME OF POSSESSION,32:01,27:58
TURNOVER RATIO,-3,+3
