title,home,opponent
TOTAL FIRST DOWNS,345,336
FIRST DOWNS (Rushing - Passing - By Penalty),100 - 207 - 38,113 - 193 - 30
THIRD DOWN CONVERSIONS,78 / 202,58 / 186
FOURTH DOWN CONVERSIONS,8 / 10,12 / 26
TOTAL OFFENSIVE YARDS,5424,5886
OFFENSE (Plays - Average Yards),1021 - 5.3,998 - 5.9
TOTAL RUSHING YARDS,1688,1862
RUSHING (Plays - Average Yards),428 - 3.9,412 - 4.5
TOTAL PASSING YARDS,3736,4024
PASSING (Comp - Att - Int - Avg),370 - 559 - 13 - 7.0,343 - 545 - 18 - 8.0
SACKS,41,34
FIELD GOALS,36 / 39,17 / 23
TOUCHDOWNS,42,41
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),15 - 24 - 1 - 2,17 - 21 - 2 - 1
AVERAGE TIME OF POSSESSION,31:16,28:43
TURNOVER RATIO,+9,-9
