title,home,opponent
TOTAL FIRST DOWNS,332,339
FIRST DOWNS (Rushing - Passing - By Penalty),143 - 157 - 32,131 - 187 - 21
THIRD DOWN CONVERSIONS,76 / 186,76 / 186
FOURTH DOWN CONVERSIONS,9 / 17,9 / 16
TOTAL OFFENSIVE YARDS,5236,5660
OFFENSE (Plays - Average Yards),979 - 5.3,982 - 5.8
TOTAL RUSHING YARDS,2346,2103
RUSHING (Plays - Average Yards),502 - 4.7,464 - 4.5
TOTAL PASSING YARDS,2890,3557
PASSING (Comp - Att - Int - Avg),283 - 440 - 14 - 7.1,333 - 494 - 18 - 7.5
SACKS,24,37
FIELD GOALS,26 / 28,22 / 27
TOUCHDOWNS,36,41
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),20 - 12 - 1 - 3,17 - 22 - 0 - 2
AVERAGE TIME OF POSSESSION,28:57,31:02
TURNOVER RATIO,+3,-3
