,home,title,opponent
0,367,TOTAL FIRST DOWNS,320
1,"147
199
21",FIRST DOWNS (Rushing - Passing - By Penalty),"85
185
50"
2,93 / 208,THIRD DOWN CONVERSIONS,79 / 207
3,11 / 16,FOURTH DOWN CONVERSIONS,16 / 30
4,6023,TOTAL OFFENSIVE YARDS,4974
5,"1045
5.8",OFFENSE (Plays - Average Yards),"992
5.0"
6,2265,TOTAL RUSHING YARDS,1502
7,"494 
4.6",RUSHING (Plays - Average Yards),"390
3.9"
8,3758,TOTAL PASSING YARDS,3472
9,"370
522
8
7.6",PASSING (Comp - Att - Int - Avg),"333
557
18
6.7"
10,45,SACKS,29
11,23 / 28,FIELD GOALS,22 / 26
12,59,TOUCHDOWNS (Rushing - Passing - Returns - Defensive),39
13,"30
28
0
1",TOUCHDOWNS,"11
28
0
0"
14,32:10,AVERAGE TIME OF POSSESSION,28:42
15,+9,TURNOVER RATIO,
