title,home,opponent
TOTAL FIRST DOWNS,297,353
FIRST DOWNS (Rushing - Passing - By Penalty),91 - 178 - 28,115 - 215 - 23
THIRD DOWN CONVERSIONS,72 / 198,91 / 204
FOURTH DOWN CONVERSIONS,14 / 22,11 / 18
TOTAL OFFENSIVE YARDS,4794,5589
OFFENSE (Plays - Average Yards),966 - 5.0,1046 - 5.3
TOTAL RUSHING YARDS,1768,1782
RUSHING (Plays - Average Yards),399 - 4.4,432 - 4.1
TOTAL PASSING YARDS,3026,3807
PASSING (Comp - Att - Int - Avg),321 - 517 - 11 - 6.5,388 - 574 - 11 - 7.2
SACKS,40,50
FIELD GOALS,31 / 32,32 / 36
TOUCHDOWNS,27,38
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),13 - 12 - 0 - 2,14 - 22 - 1 - 1
AVERAGE TIME OF POSSESSION,28:42,31:18
TURNOVER RATIO,0,0
