title,home,opponent
TOTAL FIRST DOWNS,336,340
FIRST DOWNS (Rushing - Passing - By Penalty),114 - 177 - 45,98 - 209 - 33
THIRD DOWN CONVERSIONS,82 / 220,80 / 211
FOURTH DOWN CONVERSIONS,15 / 35,7 / 18
TOTAL OFFENSIVE YARDS,5354,5810
OFFENSE (Plays - Average Yards),1066 - 5.0,1060 - 5.5
TOTAL RUSHING YARDS,2027,2012
RUSHING (Plays - Average Yards),403 - 5.0,481 - 4.2
TOTAL PASSING YARDS,3327,3798
PASSING (Comp - Att - Int - Avg),334 - 598 - 20 - 6.2,364 - 530 - 8 - 7.8
SACKS,49,65
FIELD GOALS,14 / 19,27 / 32
TOUCHDOWNS,42,48
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),16 - 22 - 1 - 3,20 - 27 - 0 - 1
AVERAGE TIME OF POSSESSION,29:15,31:21
TURNOVER RATIO,-10,+10
