title,home,opponent
TOTAL FIRST DOWNS,350,311
FIRST DOWNS (Rushing - Passing - By Penalty),101 - 217 - 32,102 - 176 - 33
THIRD DOWN CONVERSIONS,77 / 197,71 / 200
FOURTH DOWN CONVERSIONS,6 / 15,13 / 20
TOTAL OFFENSIVE YARDS,5922,5030
OFFENSE (Plays - Average Yards),1046 - 5.7,997 - 5.0
TOTAL RUSHING YARDS,1889,1703
RUSHING (Plays - Average Yards),437 - 4.3,430 - 4.0
TOTAL PASSING YARDS,4033,3327
PASSING (Comp - Att - Int - Avg),371 - 570 - 17 - 7.6,341 - 537 - 12 - 6.6
SACKS,30,39
FIELD GOALS,22 / 26,33 / 37
TOUCHDOWNS,45,42
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),19 - 25 - 0 - 1,12 - 25 - 1 - 4
AVERAGE TIME OF POSSESSION,31:23,28:36
TURNOVER RATIO,-11,+11
