,home,title,opponent
0,356,TOTAL FIRST DOWNS,376
1,"111
216
29",FIRST DOWNS (Rushing - Passing - By Penalty),"97
253
26"
2,76 / 189,THIRD DOWN CONVERSIONS,105 / 223
3,8 / 14,FOURTH DOWN CONVERSIONS,10 / 23
4,5912,TOTAL OFFENSIVE YARDS,6089
5,"1022
5.8",OFFENSE (Plays - Average Yards),"1112
5.5"
6,1971,TOTAL RUSHING YARDS,1529
7,"411 
4.8",RUSHING (Plays - Average Yards),"392
3.9"
8,3941,TOTAL PASSING YARDS,4560
9,"388
563
13
7.5",PASSING (Comp - Att - Int - Avg),"450
674
14
7.1"
10,46,SACKS,48
11,24 / 24,FIELD GOALS,29 / 35
12,55,TOUCHDOWNS (Rushing - Passing - Returns - Defensive),42
13,"15
40
0
0",TOUCHDOWNS,"18
23
0
1"
14,30:07,AVERAGE TIME OF POSSESSION,30:28
15,+4,TURNOVER RATIO,
