title,home,opponent
TOTAL FIRST DOWNS,364,319
FIRST DOWNS (Rushing - Passing - By Penalty),82 - 238 - 44,78 - 215 - 26
THIRD DOWN CONVERSIONS,83 / 191,82 / 205
FOURTH DOWN CONVERSIONS,8 / 14,14 / 25
TOTAL OFFENSIVE YARDS,6145,5234
OFFENSE (Plays - Average Yards),1017 - 6.0,1023 - 5.1
TOTAL RUSHING YARDS,1519,1289
RUSHING (Plays - Average Yards),369 - 4.1,358 - 3.6
TOTAL PASSING YARDS,4626,3945
PASSING (Comp - Att - Int - Avg),410 - 626 - 12 - 7.6,426 - 617 - 15 - 7.0
SACKS,48,22
FIELD GOALS,28 / 31,21 / 26
TOUCHDOWNS,59,42
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),16 - 42 - 0 - 1,10 - 29 - 1 - 2
AVERAGE TIME OF POSSESSION,28:54,31:05
TURNOVER RATIO,+8,-8
