title,home,opponent
TOTAL FIRST DOWNS,381,391
FIRST DOWNS (Rushing - Passing - By Penalty),142 - 203 - 36,113 - 247 - 31
THIRD DOWN CONVERSIONS,84 / 182,111 / 214
FOURTH DOWN CONVERSIONS,10 / 16,15 / 26
TOTAL OFFENSIVE YARDS,6343,6372
OFFENSE (Plays - Average Yards),1031 - 6.2,1076 - 5.9
TOTAL RUSHING YARDS,2690,1933
RUSHING (Plays - Average Yards),521 - 5.2,427 - 4.5
TOTAL PASSING YARDS,3653,4439
PASSING (Comp - Att - Int - Avg),316 - 485 - 7 - 7.9,423 - 630 - 15 - 7.3
SACKS,19,25
FIELD GOALS,20 / 28,21 / 23
TOUCHDOWNS,62,55
TOUCHDOWNS (Rushing - Passing - Returns - Defensive),26 - 33 - 1 - 2,18 - 36 - 0 - 1
AVERAGE TIME OF POSSESSION,28:42,31:47
TURNOVER RATIO,+11,-11
